field,dtype,missing_pct,description
id,float64,100.0,A unique LC assigned ID for the loan listing.
member_id,float64,100.0,A unique LC assigned Id for the borrower member.
loan_amnt,int64,0.0,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
funded_amnt,int64,0.0,The total amount committed to that loan at that point in time.
funded_amnt_inv,float64,0.0,The total amount committed by investors for that loan at that point in time.
term,str,0.0,The number of payments on the loan. Values are in months and can be either 36 or 60.
int_rate,float64,0.0,Interest Rate on the loan
installment,float64,0.0,The monthly payment owed by the borrower if the loan originates.
grade,str,0.0,LC assigned loan grade
sub_grade,str,0.0,LC assigned loan subgrade
emp_title,str,7.34,The job title supplied by the Borrower when applying for the loan.*
emp_length,str,6.37,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
home_ownership,str,0.0,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
annual_inc,float64,0.0,The self-reported annual income provided by the borrower during registration.
verification_status,str,0.0,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_d,str,0.0,The month which the loan was funded
loan_status,str,0.0,Current status of the loan
pymnt_plan,str,0.0,Indicates if a payment plan has been put in place for the loan
url,float64,100.0,URL for the LC page with listing data.
desc,str,94.93,Loan description provided by the borrower
purpose,str,0.0,A category provided by the borrower for the loan request. 
title,str,0.98,The loan title provided by the borrower
zip_code,str,0.0,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,str,0.0,The state provided by the borrower in the loan application
dti,float64,0.05,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
delinq_2yrs,float64,0.01,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,str,0.01,The month the borrower's earliest reported credit line was opened
inq_last_6mths,float64,0.01,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,float64,51.21,The number of months since the borrower's last delinquency.
mths_since_last_record,float64,84.54,The number of months since the last public record.
open_acc,float64,0.01,The number of open credit lines in the borrower's credit file.
pub_rec,float64,0.01,Number of derogatory public records
revol_bal,int64,0.0,Total credit revolving balance
revol_util,float64,0.11,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,float64,0.01,The total number of credit lines currently in the borrower's credit file
initial_list_status,str,0.0,"The initial listing status of the loan. Possible values are – W, F"
out_prncp,float64,0.0,Remaining outstanding principal for total amount funded
out_prncp_inv,float64,0.0,Remaining outstanding principal for portion of total amount funded by investors
total_pymnt,float64,0.0,Payments received to date for total amount funded
total_pymnt_inv,float64,0.0,Payments received to date for portion of total amount funded by investors
total_rec_prncp,float64,0.0,Principal received to date
total_rec_int,float64,0.0,Interest received to date
total_rec_late_fee,float64,0.0,Late fees received to date
recoveries,float64,0.0,post charge off gross recovery
collection_recovery_fee,float64,0.0,post charge off collection fee
last_pymnt_d,str,0.08,Last month payment was received
last_pymnt_amnt,float64,0.0,Last total payment amount received
next_pymnt_d,str,57.66,Next scheduled payment date
last_credit_pull_d,str,0.02,The most recent month LC pulled credit for this loan
collections_12_mths_ex_med,float64,0.01,Number of collections in 12 months excluding medical collections
mths_since_last_major_derog,float64,74.25,Months since most recent 90-day or worse rating
policy_code,int64,0.0,"publicly available policy_code=1
new products not publicly available policy_code=2"
application_type,str,0.0,Indicates whether the loan is an individual application or a joint application with two co-borrowers
annual_inc_joint,float64,94.28,The combined self-reported annual income provided by the co-borrowers during registration
dti_joint,float64,94.28,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income"
verification_status_joint,str,94.62,Indicates if the co-borrowers' joint income was verified
acc_now_delinq,float64,0.01,The number of accounts on which the borrower is now delinquent.
tot_coll_amt,float64,3.0,Total collection amounts ever owed
tot_cur_bal,float64,3.0,Total current balance of all accounts
open_acc_6m,float64,37.93,Number of open trades in last 6 months
open_act_il,float64,37.93,Number of currently active installment trades
open_il_12m,float64,37.93,Number of installment accounts opened in past 12 months
open_il_24m,float64,37.93,Number of installment accounts opened in past 24 months
mths_since_rcnt_il,float64,39.99,Months since most recent installment accounts opened
total_bal_il,float64,37.93,Total current balance of all installment accounts
il_util,float64,47.02,Ratio of total current balance to high credit/credit limit on all install acct
open_rv_12m,float64,37.93,Number of revolving trades opened in past 12 months
open_rv_24m,float64,37.93,Number of revolving trades opened in past 24 months
max_bal_bc,float64,37.93,Maximum current balance owed on all revolving accounts
all_util,float64,37.95,Balance to credit limit on all trades
total_rev_hi_lim,float64,3.0,Total revolving high credit/credit limit
inq_fi,float64,37.93,Number of personal finance inquiries
total_cu_tl,float64,37.93,Number of finance trades
inq_last_12m,float64,37.93,Number of credit inquiries in past 12 months
acc_open_past_24mths,float64,2.2,Number of trades opened in past 24 months.
avg_cur_bal,float64,3.01,Average current balance of all accounts
bc_open_to_buy,float64,3.37,Total open to buy on revolving bankcards.
bc_util,float64,3.41,Ratio of total current balance to high credit/credit limit for all bankcard accounts.
chargeoff_within_12_mths,float64,0.01,Number of charge-offs within 12 months
delinq_amnt,float64,0.01,The past-due amount owed for the accounts on which the borrower is now delinquent.
mo_sin_old_il_acct,float64,6.15,Months since oldest bank installment account opened
mo_sin_old_rev_tl_op,float64,3.0,Months since oldest revolving account opened
mo_sin_rcnt_rev_tl_op,float64,3.0,Months since most recent revolving account opened
mo_sin_rcnt_tl,float64,3.0,Months since most recent account opened
mort_acc,float64,2.2,Number of mortgage accounts.
mths_since_recent_bc,float64,3.26,Months since most recent bankcard account opened.
mths_since_recent_bc_dlq,float64,77.63,Months since most recent bankcard delinquency
mths_since_recent_inq,float64,13.12,Months since most recent inquiry.
mths_since_recent_revol_delinq,float64,68.14,Months since most recent revolving delinquency.
num_accts_ever_120_pd,float64,3.0,Number of accounts ever 120 or more days past due
num_actv_bc_tl,float64,3.0,Number of currently active bankcard accounts
num_actv_rev_tl,float64,3.0,Number of currently active revolving trades
num_bc_sats,float64,2.6,Number of satisfactory bankcard accounts
num_bc_tl,float64,3.0,Number of bankcard accounts
num_il_tl,float64,3.0,Number of installment accounts
num_op_rev_tl,float64,3.0,Number of open revolving accounts
num_rev_accts,float64,3.0,Number of revolving accounts
num_rev_tl_bal_gt_0,float64,3.0,Number of revolving trades with balance >0
num_sats,float64,2.6,Number of satisfactory accounts
num_tl_120dpd_2m,float64,6.32,Number of accounts currently 120 days past due (updated in past 2 months)
num_tl_30dpd,float64,3.0,Number of accounts currently 30 days past due (updated in past 2 months)
num_tl_90g_dpd_24m,float64,3.0,Number of accounts 90 or more days past due in last 24 months
num_tl_op_past_12m,float64,3.0,Number of accounts opened in past 12 months
pct_tl_nvr_dlq,float64,3.02,Percent of trades never delinquent
percent_bc_gt_75,float64,3.38,Percentage of all bankcard accounts > 75% of limit.
pub_rec_bankruptcies,float64,0.05,Number of public record bankruptcies
tax_liens,float64,0.01,Number of tax liens
tot_hi_cred_lim,float64,3.0,Total high credit/credit limit
total_bal_ex_mort,float64,2.2,Total credit balance excluding mortgage
total_bc_limit,float64,2.2,Total bankcard high credit/credit limit
total_il_high_credit_limit,float64,3.0,Total installment high credit/credit limit
revol_bal_joint,float64,94.95,Sum of revolving credit balance for both co-borrowers
sec_app_earliest_cr_line,str,94.95,Secondary applicant's earliest reported credit line date
sec_app_inq_last_6mths,float64,94.95,Secondary applicant's credit inquiries in the last 6 months
sec_app_mort_acc,float64,94.95,Secondary applicant's number of mortgage accounts
sec_app_open_acc,float64,94.95,Secondary applicant's number of open credit lines
sec_app_revol_util,float64,95.02,Secondary applicant's revolving credit utilization rate
sec_app_open_act_il,float64,94.95, Number of currently active installment trades at time of application for the secondary applicant
sec_app_num_rev_accts,float64,94.95,Secondary applicant's number of revolving accounts
sec_app_chargeoff_within_12_mths,float64,94.95,Secondary applicant's charge-offs within 12 months
sec_app_collections_12_mths_ex_med,float64,94.95,"Secondary applicant's collections in 12 months, excluding medical"
sec_app_mths_since_last_major_derog,float64,98.29,Months since secondary applicant's last major derogatory record
hardship_flag,str,0.0,Flags whether or not the borrower is on a hardship plan
hardship_type,str,99.48,Describes the hardship plan offering
hardship_reason,str,99.48,Describes the reason the hardship plan was offered
hardship_status,str,99.48,"Describes if the hardship plan is active, pending, canceled, completed, or broken"
deferral_term,float64,99.48,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan
hardship_amount,float64,99.48,The interest payment that the borrower has committed to make each month while they are on a hardship plan
hardship_start_date,str,99.48,The start date of the hardship plan period
hardship_end_date,str,99.48,The end date of the hardship plan period
payment_plan_start_date,str,99.48,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments."
hardship_length,float64,99.48,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan
hardship_dpd,float64,99.48,Account days past due as of the hardship plan start date
hardship_loan_status,str,99.48,Loan Status as of the hardship plan start date
orig_projected_additional_accrued_interest,float64,99.65,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.
hardship_payoff_balance_amount,float64,99.48,The payoff balance amount as of the hardship plan start date
hardship_last_payment_amount,float64,99.48,The last payment amount as of the hardship plan start date
disbursement_method,str,0.0,"The method by which the borrower receives their loan. Possible values are: CASH, DIRECT_PAY"
debt_settlement_flag,str,0.0,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company."
debt_settlement_flag_date,str,98.35,The most recent date that the Debt_Settlement_Flag has been set  
settlement_status,str,98.35,"The status of the borrower’s settlement plan. Possible values are: COMPLETE, ACTIVE, BROKEN, CANCELLED, DENIED, DRAFT"
settlement_date,str,98.35,The date that the borrower agrees to the settlement plan
settlement_amount,float64,98.35,The loan amount that the borrower has agreed to settle for
settlement_percentage,float64,98.35,The settlement amount as a percentage of the payoff balance amount on the loan
settlement_term,float64,98.35,The number of months that the borrower will be on the settlement plan
